# wavelength flux variance
3478.7418714469295 44660.48825540606 522588882.7934866
3478.7791357809806 86887.98829956085 1647562066.2167675
3478.816400514208 138746.04256886602 12337046029.936327
3478.8536656466094 77572.70968883505 3698883909.2881646
3478.8909311782013 -38219.37238572031 1648236547.2467668
3478.9281971089763 -57117.36814373822 3523985700.318564
3478.965463438951 4239.466384283936 889903086.04206
3479.0027301681225 32966.47674094319 1203247179.6913557
3479.0399972964897 51788.3760971881 1277185857.0739217
3479.0772648240695 75191.35604117991 907301480.5153915
3479.114532750853 41216.203027385025 2063937404.443493
3479.1518010768577 -130524.27464852549 7795153227.365177
3479.1890698020807 -64940.50316772323 1054328428.329719
3479.2263389265213 10708.781684001427 1209731547.5580168
3479.263608450195 95113.14061404343 16629877700.767023
3479.3008783731007 116664.23813472652 6836483881.025773
3479.3381486952358 35493.456990604536 1561284696.3385718
3479.3754194166177 78669.94374420561 2674283544.74313
3479.4126905372377 3519.102049177178 4602666367.484911
3479.4499620571128 -57723.10154944452 6602456498.506507
3479.487233976241 179904.34647772106 22770472876.959606
3479.52450629462 72799.18330163807 8285417591.487583
3479.561779012267 -69114.75525261459 3338817490.001438
3479.5990521291737 -61303.94022312964 746684400.418198
3479.636325645357 -25394.343217265476 496210535.74026984
3479.6735995608146 -6418.590409212957 591664428.1746173
3479.7108738755446 1288.5145436862877 1044386330.044116
3479.748148589564 45407.77246945772 1030898337.299942
3479.785423702871 27935.08056059826 2055191197.0503953
3479.8226992154628 93892.530711255 7663495253.3122225
3479.859975127357 189367.99874951175 4191552799.7130527
3479.8972514385446 5905.4551203670035 1288602835.1723976
3479.934528149043 92723.08486087053 1991175638.2593768
3479.9718052588505 86178.80821717778 1838253292.303161
3480.0090827679646 60293.445642114995 1457303430.9703674
3480.046360676402 33623.49232892079 1677858839.2985017
3480.0836389841547 52374.18972162607 5251593353.509408
3480.1209176912394 -94866.15466355009 8497825107.909497
3480.158196797654 14403.444215863172 22672134738.326763
3480.195476303397 539634.586243015 76829004900.6655
3480.2327562084843 547322.8624505267 7346731132.2741785
3480.270036512915 30297.733433088393 1612082257.8389704
3480.3073172166864 17280.2595372426 610482659.0943319
3480.3445983198158 20315.59508277758 2640024075.363712
3480.3818798222946 -322182.3972504543 16582059046.664705
3480.4191617241395 -223519.10659866483 7087734037.757649
3480.4564440253484 -51607.18616749182 4063253668.3354354
3480.49372672592 -23017.343453059733 4465819784.090574
3480.5310098258706 52729.6806224686 1779074428.5401418
3480.5682933251983 33534.79777686846 2945876197.781216
3480.6055772239015 -133329.4313348884 8592067776.842068
3480.642861521996 -315467.4691491797 152919560578.29385
3480.6801462194744 -485291.83572575345 12269933870.01333
3480.7174313163537 9051.81368371984 2450521097.5504575
3480.754716812631 -45013.588056157096 5559687865.808616
3480.792002708305 -11743.384298397032 1550960837.5270646
3480.829289003392 6881.545765521729 1127245401.6892047
3480.866575697885 -17832.150071702607 1421992021.9262629
3480.903862791799 -38651.52875715596 1581475049.585948
3480.941150285133 26720.738371902014 451814437.9403953
3480.9784381778854 15188.320075642816 572223509.6282685
3481.015726470072 30100.68813583241 1098896268.4298432
3481.0530151616917 71921.21888426544 3797184492.2425327
3481.090304252742 15328.6750744647 60134096174.983185
3481.1275937432397 -623251.6032584575 28891631566.93556
3481.164883633177 -16199.235351206851 4112497125.9142203
3481.20217392257 38274.80907243405 3307368165.29937
3481.2394646114176 95730.64897172079 4421902519.235986
3481.276755699717 134998.4311513818 1850510188.5797517
3481.3140471874854 -21038.787387737546 729530764.7868284
3481.351339074715 -20260.39344250335 2616647410.2645326
3481.3886313614216 52197.14878905043 4919361664.882244
3481.4259240476035 128158.21871806572 7735070437.256508
3481.4632171332596 208828.77850478067 6466172087.462747
3481.5005106184053 94431.18807900994 2114140572.4281418
3481.5378045030398 -5149.481545243573 840657137.8463635
3481.5750987871606 1562.342833527885 733489883.0447651
3481.612393470785 10838.454628080934 307472655.89037603
3481.6496885539036 -24009.993388290364 368690052.7659629
3481.6869840365343 -5167.312820224946 835992036.3160257
3481.7242799186747 59818.32912756468 1436411926.2647145
3481.7615762003234 79859.30047296888 1186695195.8090518
3481.7988728814958 63816.018934485735 4769127386.387687
3481.836169962185 133708.07667808823 22285266559.76475
3481.873467442407 140809.74451392906 74626570656.28691
3481.910765322161 -296840.1234906927 101691802495.652
3481.9480636014437 -415928.598065949 29099260464.657764
3481.985362280272 -43982.54417601472 4009723750.513581
3482.0226613586447 -346767.0488215212 13007367521.169935
3482.059960836559 -125443.68619423771 4825270259.923089
3482.0972607140325 17025.521603896228 4117668277.9830775
3482.134560991057 48097.32740183272 1355119328.6394334
3482.171861667648 -9719.167274840562 352292417.3052083
3482.209162743805 25532.58929702958 349145205.1591417
3482.246464219525 13262.076335531763 564020266.9159602
3482.2837660948253 77810.42396190447 1204089399.2219784
3482.321068369698 103756.63722412653 3472155551.0976424
3482.358371044159 42907.8970717315 1645677100.6953812
3482.395674118207 -29456.390474035827 595780984.9299741
3482.4329775918395 4932.097595369054 359669758.06668824
3482.470281465074 -14045.802352927858 592807824.6916573
3482.507585737908 -11692.940457710254 457463701.9772416
3482.5448904103396 22434.17201215172 411707567.479075
3482.582195482386 48531.55442216092 1568236025.0407944
3482.6195009540384 20427.231120700955 595866079.6479348
3482.6568068253137 44331.350580843806 493479051.39465994
3482.69411309621 -18447.982082857736 771108739.1841516
3482.7314197667256 -28377.767249308476 1436974686.7792084
3482.768726836877 -6103.783201966402 2440147493.1838126
3482.806034306656 -73795.02159853083 11400763009.008024
3482.843342176079 -96868.85179606237 3179157600.0875993
3482.880650445145 -4723.8348253319855 9347093786.95237
3482.9179591138513 21822.02134327131 35699199445.416664
3482.9552681822147 28539.125395994077 1430278375.523778
3482.9925776502337 -23557.79889430841 841784298.9400316
3483.029887517906 -188329.84258638948 9660151558.263906
3483.067197785248 -164084.59935174504 10206060418.069317
3483.1045084522525 -22280.600280441533 697374222.9999
3483.1418195189353 42068.87614421177 773264967.804781
3483.1791309852947 40181.82171361398 1257476430.9676547
3483.216442851329 -8490.12065568649 796225271.5162373
3483.253755117055 -16664.96752333806 391902174.3357029
3483.291067782464 -7346.6033423757635 548918133.9241265
3483.328380847573 -9806.180379486825 1395939408.4308527
3483.36569431238 -34916.2486714437 2505521458.294086
3483.4030081768833 -55220.70058168787 2210115596.9121604
