# wavelength flux variance
5212.930346401914 -8211.12965143511 35616304.92901823
5212.98544207969 -9644.1973547264 36446612.882404216
5213.040538339766 -9981.037649949993 37903456.11297376
5213.095635182165 -8004.0796430322525 36840026.300727665
5213.150732606885 -1743.8421419228005 32887685.353754368
5213.205830613922 -6.97330716253714 33217101.25810257
5213.260929203303 1109.5887941148294 36099402.523870155
5213.316028375013 8990.992820437059 40599463.03332279
5213.371128129078 2516.9866234419396 37296766.77849796
5213.426228465486 2122.974538851965 32999637.953052223
5213.48132938426 -5347.1764843143865 31695790.650971036
5213.536430885399 6699.127756112232 32892064.611777987
5213.591532968897 -237.6808811155097 33307951.76986288
5213.646635634782 -7192.990082050013 32008804.027452055
5213.701738883039 -10682.654348695341 29913274.38720653
5213.756842713695 -2537.590840328754 31877802.012006473
5213.8119471267355 1917.1292862793964 34599839.87650893
5213.867052122187 5646.528791656845 34506391.27801878
5213.922157700044 4576.565469921865 31807970.119318202
5213.977263860306 4792.247450956614 35159385.016013995
5214.032370602997 -3276.835683909676 41102842.480365194
5214.087477928103 -8441.614227543456 44322906.53670456
5214.142585835651 236.82424667416672 37978528.62159567
5214.197694325627 1810.2951601769244 35998929.87120332
5214.252803398056 -1633.3195827467894 38850716.23913982
5214.307913052935 -6528.301357845539 44782793.2378693
5214.3630232902615 4190.522165810111 37769297.65487683
5214.418134110059 -1222.197514144942 36659020.163462535
5214.473245512316 4423.636427333161 34743756.74328048
5214.528357497057 7233.930411533372 32024223.537178203
5214.58347006427 -8608.107907654927 48086581.66864885
5214.638583213979 -4712.700856958023 46959565.77636642
5214.693696946171 1977.9161210292598 39361555.78972513
5214.7488112608735 -3666.081819081184 42828020.29303373
5214.80392615808 -1927.311721868191 44203034.168364875
5214.859041637789 1497.6937925637467 43005593.9438641
5214.9141577000255 1549.2585033412533 49772566.841489226
5214.969274344777 -4873.126631489318 38192202.61916406
5215.0243915720675 -5745.385283503114 40573398.81561088
5215.079509381885 2717.8627688691176 42915229.62655669
5215.134627774254 3430.0820764735086 41522986.07418341
5215.189746749172 -3163.7336940472705 38988121.68729661
5215.244866306635 -11761.809727341973 43376170.48352942
5215.299986446668 -18072.810593822982 46914590.06599891
5215.355107169259 -13263.868687894648 47823372.1300995
5215.410228474433 -10247.716590221982 44110697.8988828
5215.465350362177 -10311.690803243459 42474341.96121658
5215.520472832515 -8267.912912017116 38919486.80957712
5215.575595885445 -242.09250612966028 36260877.80793165
5215.630719520965 384.62721180476854 41010734.70592491
5215.6858437390965 418.1525234155446 45283917.22192372
5215.74096853983 268.11218353198944 44239238.803886615
5215.796093923188 -116.72548574504214 41764662.06723413
5215.851219889159 -1210.7858473614215 40302356.27946673
5215.90634643777 -649.9785301074157 44345160.0263991
5215.961473569014 -2284.550768800389 44502735.29744566
5216.0166012828895 11398.527074977472 37116042.93051984
5216.071729579422 3751.83060253773 36258699.482080586
5216.126858458599 -5948.044943697769 39195980.039703764
5216.181987920444 -18909.064674747362 48201895.45298732
5216.237117964945 1980.5683577689776 36737564.72612511
